Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,MORT Group Footnote,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,Safety Group Footnote,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,READM Group Footnote,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,Pt Exp Group Footnote,TE Group Measure Count,Count of Facility TE Measures,TE Group Footnote,,Latitude,Longitude
05015F,60th Medical Group (Travis AFB),101 Bodin Circle Bldg. 777,Travis AFB,CA,94535,SOLANO,(707) 423-7300,Acute Care - Department of Defense,Department of Defense,Yes,,,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,22,Not Available,Not Available,22,,38.2700215,-121.9637813
02013F,673rd Medical Group (Joint Base Elmendorf-Richardson),673 MDG 5955 Zeamer Ave,JBER,AK,99506,ANCHORAGE,(907) 384-1110,Acute Care - Department of Defense,Department of Defense,Yes,,,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,22,Not Available,Not Available,22,,61.235181,-149.744925
25039F,81st Medical Group (Keesler AFB),81 MDG 301 Fisher St. Suite 109,Biloxi,MS,39534,HARRISON,(228) 377-6393,Acute Care - Department of Defense,Department of Defense,Yes,,,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,22,Not Available,Not Available,22,,30.4096487,-88.9217879
36006F,88th Medical Group (Wright-Patterson AFB),88 MDG 4881 Sugar Maple Dr.,Wright-Patterson AFB,OH,45433,GREENE,(937) 257-9926,Acute Care - Department of Defense,Department of Defense,Yes,,,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,22,Not Available,Not Available,22,,39.8048573,-84.0384176
10021F,96th Medical Group (Eglin AFB),96 MDG 307 Boatner Rd Suite 114,Eglin AFB,FL,32542,OKALOOSA,(850) 883-8600,Acute Care - Department of Defense,Department of Defense,Yes,,,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,22,Not Available,Not Available,22,,30.4614772,-86.5551161
29001F,99th Medical Group (Nellis AFB),99 MDG 4700 Las Vegas Blvd,Nellis AFB,NV,89191,CLARK,(702) 653-2273,Acute Care - Department of Defense,Department of Defense,Yes,,,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,22,Not Available,Not Available,22,,36.2461056,-115.0495647
421301,ABBEVILLE AREA MEDICAL CENTER,420 THOMSON CIRCLE,ABBEVILLE,SC,29620,ABBEVILLE,(864) 366-1649,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,,Not Available,16,7,1,0,1,0,,8,1,0,1,0,,11,3,0,3,0,,8,Not Available,5,12,7,,,34.1568248,-82.3817514
190034,ABBEVILLE GENERAL HOSPITAL,118 N HOSPITAL DR,ABBEVILLE,LA,70510,VERMILION,(337) 893-5466,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,3,,7,3,0,3,0,,8,2,0,2,0,,11,6,0,6,0,,8,8,,12,10,,,29.973708,-92.1077483
240057,ABBOTT NORTHWESTERN HOSPITAL,800 EAST 28TH STREET,MINNEAPOLIS,MN,55407,HENNEPIN,(612) 863-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,7,1,6,0,,8,8,1,6,1,,11,11,2,7,2,,8,8,,12,10,,,44.9541746,-93.2615723
390231,ABINGTON MEMORIAL HOSPITAL,1200 OLD YORK ROAD,ABINGTON,PA,19001,MONTGOMERY,(215) 481-2000,Acute Care Hospitals,Proprietary,Yes,Y,Y,2,,7,7,1,5,1,,8,8,1,7,0,,11,11,0,7,4,,8,8,,12,11,,,40.1192757,-75.1206981
141322,ABRAHAM LINCOLN MEMORIAL HOSPITAL,200 STAHLHUT DRIVE,LINCOLN,IL,62656,LOGAN,(217) 732-2161,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,2,,7,3,0,3,0,,8,1,0,1,0,,11,6,1,5,0,,8,8,,12,5,,,40.1537478,-89.3895011
30094,ABRAZO ARROWHEAD HOSPITAL,18701 NORTH 67TH AVENUE,GLENDALE,AZ,85308,MARICOPA,(623) 561-1000,Acute Care Hospitals,Proprietary,Yes,Y,Y,2,,7,7,0,7,0,,8,7,4,3,0,,11,9,0,8,1,,8,8,,12,10,,,33.6547083,-112.2011817
30030,ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015,MARICOPA,(602) 249-0212,Acute Care Hospitals,Physician,Yes,Y,,2,,7,5,0,5,0,,8,6,0,6,0,,11,6,0,6,0,,8,8,,12,8,,,33.525601,-112.1020655
30083,ABRAZO SCOTTSDALE CAMPUS,3929 EAST BELL ROAD,PHOENIX,AZ,85032,MARICOPA,(602) 923-5609,Acute Care Hospitals,Proprietary,Yes,Y,,1,,7,4,0,4,0,,8,5,0,5,0,,11,6,1,3,2,,8,8,,12,8,,,33.6394395,-111.9974204
30110,ABRAZO WEST CAMPUS,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395,MARICOPA,(623) 882-1970,Acute Care Hospitals,Proprietary,Yes,Y,Y,1,,7,6,0,6,0,,8,7,2,5,0,,11,8,0,7,1,,8,8,,12,9,,,33.4619498,-112.3535453
191322,ABROM KAPLAN MEMORIAL HOSPITAL,1310 WEST SEVENTH STREET,KAPLAN,LA,70548,VERMILION,(337) 643-8300,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5,12,7,,,30.0080737,-92.2970706
190044,ACADIA GENERAL HOSPITAL,1305 CROWLEY RAYNE HIGHWAY,CROWLEY,LA,70526,ACADIA,(337) 783-3222,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,3,,7,3,0,3,0,,8,6,0,6,0,,11,9,1,8,0,,8,8,,12,7,,,30.2260114,-92.3636007
191319,ACADIA ST LANDRY,810 SOUTH BROADWAY STREET,CHURCH POINT,LA,70525,ACADIA,(337) 684-5435,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,5,12,Not Available,5,,30.3955793,-92.2111568
190318,ACADIAN MEDICAL CENTER,3501 HIGHWAY 190 EAST,EUNICE,LA,70535,ST. LANDRY,(337) 580-7903,Acute Care Hospitals,Proprietary,Yes,Y,Y,Not Available,16,7,2,0,2,0,,8,2,0,2,0,,11,5,0,4,1,,8,8,,12,9,,,30.4969073,-92.3860674
364050,"ACCESS HOSPITAL DAYTON, LLC",2611 WAYNE AVENUE,DAYTON,OH,45420,MONTGOMERY,(937) 965-4925,Psychiatric,Voluntary non-profit - Private,No,,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,,39.7357328,-84.1544998
